2018-08-31 16:47:08;User1;resource3;3;
2018-08-31 16:48:08;User1;resource3;3;
2018-08-31 16:49:08;User1;resource3;3;
2018-08-31 16:50:08;User1;resource2;3;
2018-08-31 16:50:09;User1;resource1;2;
2018-08-31 16:50:09;User2;resource3;4;
2018-08-31 16:50:10;User1;resource1;2;
2018-08-31 16:50:11;User1;resource1;3;
2018-08-31 16:51:12;User3;resource4;3;
2018-08-31 16:52:09;User1;resource2;3;
2018-08-31 16:52:50;User1;resource2;3;
2018-08-31 16:53:00;User1;resource2;2;
2018-08-31 16:53:01;User1;resource2;4;
2018-08-31 16:53:02;User1;resource2;4;
2018-08-31 16:53:04;User1;resource2;2;
2018-08-31 16:53:09;User1;resource2;2;
2018-08-31 16:53:09;User1;resource2;2;
2018-08-31 16:53:10;User1;resource2;3;
2018-08-31 16:53:40;User1;resource2;3;
2018-08-31 16:53:41;User1;resource2;3;
2018-08-31 16:54:09;User1;resource2;3;
2018-08-31 16:54:10;User1;resource2;2;
2018-08-31 16:54:11;User1;resource2;4;
2018-08-31 16:54:11;User1;resource2;2;
2018-08-31 16:54:11;User1;resource2;2;
2018-08-31 16:54:11;User1;resource2;2;
2018-08-31 16:55:09;User1;resource2;3;
2018-08-31 16:55:55;User1;resource2;3;
2018-08-31 16:56:58;User1;resource2;3;
2018-08-31 16:57:38;User1;resource3;3;
2018-08-31 16:58:09;User1;resource1;2;
2018-08-31 16:58:11;User1;resource3;4;
2018-08-31 16:58:11;User1;resource1;2;
